country,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PUERTO RICO,,,,"2,321","2,551","2,661","2,661","2,559","2,475","2,709","2,939","3,240","3,290","3,320"
SURINAME,,,,96,101,114,128,141,154,160,167,175,181,193
TRINIDAD,,,,351,348,352,355,358,361,366,368,378,386,397
URUGUAY,,,,531,619,645,645,668,679,732,779,834,897,960
VENEZUELA,,,,"3,279","3,539","4,044","4,815","4,775","4,908","4,978","5,060","4,305","4,400","4,510"
AFGHANISTAN,,,,660,685,735,780,863,951,"1,034","1,493","1,543","1,563","1,573"
AUSTRALIA,,,,"13,612","13,979","14,320","14,729","15,050","15,401","15,190","16,032","16,436","16,853","17,201"
AZERBAIDJAN,,,,597,674,755,843,907,964,"1,023","1,118","1,213","1,272","1,302"
BAHRAIN,,,,310,333,362,394,422,443,465,489,525,553,578
BANGLADESH,,,,422,427,432,436,452,496,529,556,587,629,620
BRUNEI,,,,87,90,97,106,163,111,144,234,257,288,301
CHINA,,,,"31,597","36,974","43,584","50,996","62,806","78,018","93,563","109,220","126,701","145,981","162,845"
GUAM,,,,95,94,97,102,102,105,107,110,112,114,118
HONG-KONG,,,,499,509,520,530,539,562,584,607,633,649,674
INDIA,,,,"10,332","11,520","13,086","14,560","16,177","17,950","20,113","22,622","24,826","26,510","28,860"
INDONESIA,,,,"9,062","10,784","12,848","14,001","14,570","15,829","16,762","17,992","19,386","21,233","22,513"
IRAN,,,,"7,360","7,670","8,010","8,400","8,791","9,181","10,347","11,513","12,679","13,360","14,130"
IRAQ,,,,"2,175","2,257","2,364","2,418","2,471","2,690","3,065","3,341","3,502","3,670","3,900"
ISRAEL,,,,"2,023","2,086","2,185","2,283","2,345","2,449","2,562","2,637","2,725","2,837","2,959"
JAPAN,,,,"75,687","75,859","75,715","75,528","75,325","75,361","75,513","76,126","76,619","77,188","77,404"
JORDAN,,,,521,576,638,700,777,805,941,984,"1,026","1,070","1,130"
KAZAKHSTAN,,,,"1,753","2,132","2,626","3,080","3,162","3,579","4,066","4,169","4,229","4,534","4,397"
KUWAIT,,,,930,"1,191","1,266","1,325","1,384","1,446","1,520","1,606","1,706","1,792","1,876"
KYRGYZSTAN,,,,430,486,541,635,733,853,950,"1,070","1,160","1,250","1,330"
LEBANON,,,,521,511,515,532,539,546,553,578,610,650,683
MALAYSIA,,,,"7,415","7,921","8,438","9,030","9,605","10,253","10,900","11,573","11,809","12,589","13,309"
NEW CALEDONIA,,,,82,82,93,94,99,102,106,110,111,112,113
NEW ZEALAND,,,,"2,596","2,667","2,717","2,742","2,781","2,777","2,813","2,884","3,442","3,580","3,708"
OMAN,,,,405,510,530,611,620,680,740,810,860,920,980
PAKISTAN,,,,"1,762","1,843","1,928","2,044","2,170","2,264","2,434","2,694","2,894","3,021","3,220"
PALESTINE,,,,236,204,138,169,216,221,264,307,340,385,405
PHILIPPINES,,,,"2,902","2,922","5,640","2,909","3,019","3,153","3,257","3,347","2,590","3,592","3,823"
