year,nonth,state,county,rate
2016,November,Oklahoma,Oklahoma County,4.2
2016,November,Oklahoma,Osage County,5.4
2016,November,Oklahoma,Murray County,4.2
2016,November,Oklahoma,Ottawa County,4.9
2016,November,Oklahoma,Dewey County,3.2
2016,November,Oklahoma,Ellis County,3.4
2016,November,Oklahoma,Harper County,3.7
2016,November,Oklahoma,Creek County,5.6
2016,November,Oklahoma,Pawnee County,6.2
2016,November,Oklahoma,Cotton County,4.5
2016,November,Oklahoma,Love County,3.0
2016,November,Oklahoma,Coal County,6.5
2016,November,Delaware,Sussex County,4.2
2016,November,Delaware,New Castle County,3.7
2016,November,Delaware,Kent County,4.1
2016,November,Minnesota,Sibley County,3.2
2016,November,Minnesota,Carver County,2.8
2016,November,Minnesota,McLeod County,3.4
2016,November,Minnesota,Blue Earth County,2.5
2016,November,Minnesota,Todd County,4.4
2016,November,Minnesota,Mower County,2.5
2016,November,Minnesota,Anoka County,3.2
2016,November,Minnesota,Fillmore County,3.2
2016,November,Minnesota,Lincoln County,2.3
2016,November,Minnesota,Goodhue County,3.0
2016,November,Minnesota,Stearns County,3.1
2016,November,Minnesota,Murray County,3.0
2016,November,Minnesota,Lyon County,2.6
2016,November,Minnesota,Wilkin County,2.4
2016,November,Minnesota,Isanti County,3.7
2016,November,Minnesota,Benton County,3.4
2016,November,Minnesota,Brown County,3.2
2016,November,Minnesota,Dakota County,2.9
2016,November,Minnesota,Faribault County,3.8
2016,November,Minnesota,Scott County,2.7
2016,November,Minnesota,Lac qui Parle County,3.0
2016,November,Minnesota,Wadena County,4.6
2016,November,Minnesota,Hubbard County,6.3
2016,November,Minnesota,Kittson County,3.4
2016,November,Minnesota,Kanabec County,5.7
2016,November,Minnesota,Olmsted County,2.5
2016,November,Minnesota,Saint Louis County,4.9
2016,November,Minnesota,Pope County,2.9
2016,November,Minnesota,Marshall County,6.1
2016,November,Minnesota,Watonwan County,3.9
2016,November,Minnesota,Pipestone County,2.6
2016,November,Minnesota,Crow Wing County,4.9
2016,November,Minnesota,Lake of the Woods County,6.0
2016,November,Minnesota,Itasca County,8.1
2016,November,Minnesota,Steele County,3.0
2016,November,Minnesota,Chisago County,3.6
2016,November,Minnesota,Wabasha County,2.8
2016,November,Minnesota,Swift County,3.9
2016,November,Minnesota,Sherburne County,3.4
2016,November,Minnesota,Beltrami County,4.1
2016,November,Minnesota,Cottonwood County,5.0
2016,November,Minnesota,Lake County,5.0
2016,November,Minnesota,Chippewa County,3.4
2016,November,Minnesota,Douglas County,3.1
2016,November,Minnesota,Mahnomen County,3.9
2016,November,Minnesota,Waseca County,3.4
2016,November,Minnesota,Roseau County,3.9
2016,November,Minnesota,Nobles County,2.9
2016,November,Minnesota,Otter Tail County,3.7
2016,November,Minnesota,Clearwater County,7.8
2016,November,Minnesota,Hennepin County,2.9
2016,November,Minnesota,Pine County,4.9
2016,November,Minnesota,Martin County,3.3
2016,November,Minnesota,Red Lake County,6.1
2016,November,Minnesota,Norman County,3.6
2016,November,Minnesota,Meeker County,3.4
