Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
491,Brandan Wright\wrighbr03,PF,30,MEM,27,1,366,57,99,.576,0,0,,57,99,.576,.576,21,33,.636,32,61,93,13,13,25,8,29,135
492,Delon Wright\wrighde01,PG,25,TOR,42,3,898,129,272,.474,33,88,.375,96,184,.522,.535,70,81,.864,30,100,130,109,46,21,54,47,361
493,Guerschon Yabusele\yabusgu01,PF,22,BOS,22,0,110,13,32,.406,8,22,.364,5,10,.500,.531,5,9,.556,12,19,31,6,1,1,6,14,39
494,James Young\youngja01,SG,22,PHI,5,0,52,4,12,.333,3,10,.300,1,2,.500,.458,4,6,.667,0,2,2,2,0,0,0,3,15
495,Joe Young\youngjo01,PG,25,IND,38,1,358,54,117,.462,16,43,.372,38,74,.514,.530,18,25,.720,6,29,35,22,8,1,16,22,142
496,Nick Young\youngni01,SG,32,GSW,53,1,761,125,282,.443,75,192,.391,50,90,.556,.576,21,30,.700,11,53,64,20,23,6,23,61,346
497,Thaddeus Young\youngth01,PF,29,IND,55,55,1796,292,589,.496,46,136,.338,246,453,.543,.535,27,49,.551,108,206,314,113,87,23,69,119,657
498,Cody Zeller\zelleco01,C,25,CHO,23,0,439,54,109,.495,1,1,1.000,53,108,.491,.500,52,71,.732,51,74,125,22,10,21,27,62,161
499,Tyler Zeller\zellety01,C,28,TOT,43,33,709,125,230,.543,10,27,.370,115,203,.567,.565,40,60,.667,63,132,195,28,8,21,38,80,300
499,Tyler Zeller\zellety01,C,28,BRK,42,33,703,125,229,.546,10,26,.385,115,203,.567,.568,40,60,.667,62,131,193,28,8,21,35,78,300
499,Tyler Zeller\zellety01,C,28,MIL,1,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,1,2,0,0,0,3,2,0
500,Paul Zipser\zipsepa01,SF,23,CHI,44,9,669,67,189,.354,29,83,.349,38,106,.358,.431,12,18,.667,11,98,109,36,16,9,39,66,175
501,Ante Zizic\zizican01,C,21,CLE,12,1,41,4,11,.364,0,0,,4,11,.364,.364,5,7,.714,5,10,15,1,0,3,2,4,13
502,Ivica Zubac\zubaciv01,C,20,LAL,15,0,67,8,21,.381,0,0,,8,21,.381,.381,3,3,1.000,4,11,15,2,0,2,5,8,19
