Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Carlsbad Caverns NP,"400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720","466,773",,,"520,026"
Carter G. Woodson Home NHS,,,,,,,,,,,,"1,884"
Casa Grande Ruins NM,"73,763","76,350","77,347","72,308","68,631","65,106","63,698","72,606","75,752",,,"75,583"
Castillo de San Marcos NM,"618,769","667,783","708,549","741,042","727,243","778,128","760,708","819,154","854,664",,,"876,975"
Castle Clinton NM,"3,727,030","4,080,152","4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029","4,812,930",,,"4,737,113"
Catoctin Mountain Park,"466,926","440,294","385,745","264,460","263,797","175,213","188,170","229,301","221,750",,,"236,243"
Cedar Breaks NM,"538,016","492,353","525,831","493,147","631,809","466,450","762,907","793,601","899,676",,,"909,199"
Cesar E. Chavez NM,,,,,,"8,157","8,854","10,648","17,216",,,"15,472"
Chaco Culture NHP,"37,180","37,376","34,226","39,175","39,044","29,917","38,386","38,914","54,084",,,"55,334"
Chamizal NMEM,"197,767","215,852","226,535","113,817","104,148","121,937","108,399","122,431","147,937",,,"86,400"
Channel Islands NP,"332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816","364,807",,,"383,687"
Charles Pinckney NHS,"44,072","43,447","44,081","45,254","44,314","47,309","53,486","46,995","53,184",,,"53,744"
Charles Young Buffalo Soldiers NM,,,,,,,,"3,993","10,211",,,"12,405"
Chattahoochee River NRA,"2,826,171","2,830,655","3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204","2,736,385",,,"2,768,499"
Chesapeake & Ohio Canal NHP,"3,111,468","3,751,681","4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312","4,813,078",,,"4,859,573"
Chickamauga & Chattanooga NMP,"993,535","992,448","991,901","1,036,699","1,032,844","905,984","996,694","1,002,373","1,027,738",,,"994,537"
Chickasaw NRA,"1,230,609","1,238,484","1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105","1,676,421",,,"1,533,684"
Chiricahua NM,"56,557","60,851","55,436","37,037","41,159","40,646","45,125","56,960","51,277",,,"63,132"
